,PLOT_ID,REBURN,reb,reburn,EAST.WEST,needle,prop_Kba,prop_Kstem,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,meandeepchar,PlotCBI_mean,prop_lccloss,RDNBR_SINGLE,RBR,DNBR,RDNBR
70,LIBEREB2,YES,1,non SR,E,5.63,1,1,0.87,0.72,0.44,0.31,2.45,1,646.4,295.3,423.5,634.2431738
71,LIBEREB3,YES,1,SR,E,6,1,1,0.64,0.56,0.42,0,2.09125,0.959223461,472,192.5,245,350.2718685
72,LIBEREB4,YES,1,non SR,E,5,0.409700261,0.88888889,0.97,0.62,0.47,0.2,2.514,0.947601962,725.9,262.2,310.5,693.2654688
98,MAPLE1,YES,1,SR,E,6,1,1,1,1,0.69,0,2.6,1,1047.4,512.8,855,1067.522393
99,MAPLE2,YES,1,SR,E,6.9,1,1,1,1,0.98,1.9,2.4,1,1168.2,568.5,927.6,1209.581288
100,MAPLE3,YES,1,SR,E,6.9,1,1,1,1,0.98,1.9,2.4,1,1233.5,599.7,977.4,1236.835279
101,MAPLE4,YES,1,SR,E,6,1,1,1,0.95,0.84,0.05,2.5,1,1090.1,530,862,1021.58188
102,MAPLE5,YES,1,SR,E,6.6,1,1,1,1,0.93,0.9,3,1,1073.8,496.1,719.3,1047.447333
103,MAPLE6,YES,1,SR,E,6,1,1,1,1,0.22,0,2.5,1,1128.1,541,845.7,1066.739187
104,MAPLEUNB1,YES,1,SR,E,0,0,0,0,0,0,0,0,0,10.5,4.6,6.2,23.82191093
105,MAPLEUNB2,YES,1,SR,E,0,0,0,0,0,0,0,0,0,-24.6,-10.9,-14.9,3.379523754
106,MAPLEUNB3,YES,1,SR,E,0,0,0,0,0,0,0,0,0,8.1,3.8,5.9,29.99425044
107,MAPLEUNB4,YES,1,SR,E,0,0,0,0,0,0,0,0,0,-14.9,-6.9,-9.5,98.26089501
168,MILLREB1,YES,1,SR,E,6.9,1,1,1,0.95,0.08,0,2.98125,1,766.1,363.3,553.3,749.2977789
169,MILLREB10,YES,1,non SR,E,4.93,1,1,1,0.69,0.12,0.64,2.583,0.996956859,432.4,183.8,242.8,482.4095594
170,MILLREB11,YES,1,non SR,E,0,0.006181697,0.04444444,0.92,0.14,0.07,0,0.635,0,-79.9,-36.5,-52.2,-12.84556513
171,MILLREB12,YES,1,non SR,E,6,1,1,1,0.9,0.14,0,2.46,1,498.7,242.3,393.6,513.492519
172,MILLREB13,YES,1,non SR,E,6,1,1,1,0.75,0.11,0.33,2.84,1,779.4,349.7,486.2,756.7316601
173,MILLREB14,YES,1,non SR,E,3.75,0.004840594,0.625,1,0.58,0.12,0.38,1.908333333,0.447230082,598.1,286.6,446.8,581.4150523
174,MILLREB15,YES,1,non SR,E,2.41,0.014204827,0.79545455,0.71,0.11,0.25,0,1.55,0.403519945,237.2,103.8,140.3,244.3257939
175,MILLREB2,YES,1,non SR,E,2.6,0.338019591,0.46428571,0.8,0.24,0.02,0,1.44125,0.246508071,550.1,270.3,457.7,490.4267392
176,MILLREB3,YES,1,non SR,E,2.3,0.066188037,0.28571429,0.95,0.27,0.04,0,1.3775,0.425753001,454.6,213.5,318.7,400.6666087
177,MILLREB4,YES,1,non SR,E,5.9,1,1,1,0.86,0.06,0,2.765,0.996987733,1008.1,483.7,757,988.8342269
178,MILLREB5,YES,1,non SR,E,4.35,1,1,1,0.29,0.07,0.05,2.645,0.982966288,648.4,313.1,499,677.4535223
179,MILLREB6,YES,1,non SR,E,1.33,0.105775754,0.47368421,0.62,0.08,0.01,0,0.304,0.408204918,125.1,29,30.5,173.7789267
180,MILLREB7,YES,1,non SR,E,2.95,0.460214539,0.7826087,0.86,0.22,0.06,0,1.803,0.188658176,151.8,73.3,117.8,162.3916596
181,MILLREB8,YES,1,non SR,E,6.3,1,1,1,0.91,0.18,0,2.95,1,925.5,296.9,354.8,855.0688163
182,MILLREB9,YES,1,non SR,E,0.3,0.092458093,0.57692308,0.7,0.1,0.05,0,1.2375,0,24.1,11.3,16.7,36.01483394
183,MILLREBUNB1,YES,1,non SR,E,0,0,0,0,0,0,0,0,0,-21.4,-9.9,-14.3,16.39384302
185,MILLREBUNB3,YES,1,non SR,E,0,0,0,0,0,0,0,0,0,-88.7,-35,-42.6,-72.93442108
186,MILLREBUNB4,YES,1,non SR,E,0,0,0,0,0,0,0,0,0,-25.1,-12,-18.6,-16.82547656
187,MILLREBUNB5,YES,1,non SR,E,0,0,0,0,0,0,0,0,0,23.1,11,16.6,-63.14406986
188,MILLREBUNB6,YES,1,non SR,E,0,0,0,0,0,0,0,0,0,-117.7,-50,-65.8,-84.0570708
242,PION9,YES,1,non reburn,E,5.55,1,1,0.83,0.57,0.49,0.2,2,0.908576523,368.3,161.9,220.5,605.74307
258,RAIL9,YES,1,non reburn,E,1.68,0.005127619,0.0952381,0.99,0.12,0.18,0,1.3,0.033170181,136.4,52.6,65.4,108.7607203
259,RAILREB1,YES,1,SR,E,3.12,0.207998004,0.1875,0.76,0.26,0.09,0.06,1.1,0.535913999,139.1,56.3,71.1,-4.748851189
260,RAILREB2,YES,1,SR,E,2.05,0.072173182,0.08333333,0.62,0.14,0.07,0,0.8,0.22583011,96.3,40.6,52.8,-9.674155392
261,RAILREB3,YES,1,SR,E,5.2,1,1,0.98,0.59,0.24,0,1.8,1,397.4,165.4,213.8,329.8254591
262,RAILREB4,YES,1,SR,E,1.81,0,0,0.64,0.17,0.06,0.06,1,0.409621936,255,110.4,148.3,94.14326236
263,RAILREB5,YES,1,SR,E,2.75,0.288794597,0.4,0.93,0.35,0.1,0,1.6,0.753945211,358.3,175.1,289.9,195.2995869
264,RAILREBUNB1,YES,1,non SR,E,0,0,0,0,0,0,0,0,0,64.1,28.2,38.3,-45.96628806
62,JONEUNB1,,1,SR,W,,,,,,,,,,,,,
243,PIONREBUNB1,,1,SR,E,,,,,,,,,,,,,
