,PLOT_ID,REBURN,reb,reburn,EAST.WEST,needle,prop_Kba,prop_Kstem,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,meandeepchar,PlotCBI_mean,prop_lccloss,RDNBR_SINGLE,RBR,DNBR,RDNBR
161,MILL36,NO,0,non reburn,E,5.65,1,1,1,0.6,0.78,0.45,2.8,1,745.3,339.3,482.1,717.2763913
162,MILL4,NO,0,non reburn,E,3.75,0.509902581,0.80645161,0.86,0.13,0.13,0,1.419,0.773088436,560,254.6,361.6,612.3780419
163,MILL5,NO,0,non reburn,E,5.6,1,1,1,0.58,0.27,0.3,2.688,1,1098.2,537.5,896.5,1054.399873
164,MILL6,NO,0,non reburn,E,6,1,1,1,0.83,0.93,0.55,2.975,1,1043.7,503.4,799.2,1008.828595
165,MILL7,NO,0,non reburn,E,6.4,1,1,1,0.96,0.99,0.2,3,1,813,375.3,543.7,748.6316629
166,MILL8,NO,0,non reburn,E,6.05,1,1,1,0.83,0.23,0.7,2.868,1,935.5,437.2,647.4,946.0148318
167,MILL9,NO,0,non reburn,E,6,1,1,1,0.85,0.91,0.15,2.841,1,1039.1,508.5,848.2,993.2066492
189,MILLUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,462.8,223.2,354.8,147.9024063
190,MILLUNB2,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-39.7,-18.1,-25.6,-53.04852587
191,MILLUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,0.9,0.4,0.6,-47.53848763
193,MILLUNB6,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-63,-28.4,-39.7,-86.50721064
194,MILLUNB7,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-30.5,-13.6,-18.6,-74.63572023
195,MILLUNB8,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,2.8,2.8,4.7,-66.00023839
196,MILLUNB9,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,1.9,1.2,2.3,-50.10471826
197,NORS1,NO,0,non reburn,W,0,0.234545506,0.64935065,0.94,0.08,0.13,0.15,1.513,0,84.3,39.3,57.7,76.93481162
198,NORS10,NO,0,non reburn,W,5.55,1,1,1,0.82,0.49,0.45,2.444,0.967040234,900.3,393.7,530.7,823.9915223
199,NORS11,NO,0,non reburn,W,3.41,0.659071146,0.91044776,1,0.2,0.5,0.15,1.482,0.436629209,847.3,367.7,491.7,648.6579261
200,NORS12,NO,0,non reburn,W,6,1,1,1,0.86,0.84,0.1,2.867,1,1674.8,724.8,966.6,1236.369576
201,NORS13,NO,0,non reburn,W,4.63,0.959144764,0.99173554,0.92,0.09,0.24,0.25,2.1705,0.983718858,866,377.9,508.3,758.5921266
202,NORS14,NO,0,non reburn,W,5.1,1,1,1,0.58,0.63,0,2.06875,1,726,315.3,422.1,526.5064694
203,NORS15,NO,0,non reburn,W,0.39,0.044752559,0.57894737,0.9,0.02,0.23,0,1.494,0.101157325,-153.8,-66.5,-88.6,108.9684357
204,NORS16,NO,0,non reburn,W,5.9,1,1,1,0.76,0.58,0.15,2.659,1,1463.9,646.5,880.9,1117.427192
206,NORS18,NO,0,non reburn,W,5.95,1,1,1,1,0.98,0,2.984,1,1516.6,721.7,1104.8,1221.662123
208,NORS2,NO,0,non reburn,W,6,1,1,1,0.98,0.99,0,2.987,1,267.8,127.7,196.5,237.3998718
213,NORS24,NO,0,non reburn,W,6,1,1,1,1,0.99,0,2.992,1,1280.6,607.4,923.1,1148.907824
214,NORS3,NO,0,non reburn,W,0,0.153534027,0.4,0.85,0.05,0.16,0.05,0.917,0,160.2,77,120.7,99.52990411
215,NORS4,NO,0,non reburn,W,5.85,1,1,1,0.51,0.34,0,2.72625,1,1301.9,622.4,963.3,1192.510045
216,NORS5,NO,0,non reburn,W,5.95,1,1,1,0.87,0.85,0,2.923,1,1300.7,623.8,973.3,1063.838169
217,NORS6,NO,0,non reburn,W,6,1,1,1,0.43,0.67,0,2.709,1,1178.5,566.3,887.6,1137.820508
218,NORS7,NO,0,non reburn,W,2.75,0.349356505,0.58823529,0.96,0.15,0.07,0,1.893,0.342502511,615.4,293.1,449.4,468.1811842
219,NORS8,NO,0,non reburn,W,6,1,1,1,0.77,0.64,0.1,2.678,1,1380.9,659.9,1020.4,1180.0929
220,NORS9,NO,0,non reburn,W,0.85,0.132882294,0.36170213,1,0.38,0.16,0,2.1025,0.002393577,21.7,9.7,13.4,290.8416378
221,NORSUNB1,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-110.2,-52.2,-79.3,-35.34959139
222,NORSUNB10,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-168.6,-77,-109.8,-17.92563833
223,NORSUNB11,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-293.3,-131.9,-183.8,-57.35376032
224,NORSUNB2,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-228.4,-101.6,-139.7,-15.16318055
225,NORSUNB3,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-183.9,-85.6,-125.6,-9.530456889
226,NORSUNB4,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-190.4,-87.5,-125.7,-26.98239435
227,NORSUNB5,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-173.3,-79.6,-114.2,-42.88801211
228,NORSUNB6,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-309.2,-137.1,-187.7,-37.43445949
229,NORSUNB7,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-140.8,-65.3,-95.4,-19.94128125
230,NORSUNB8,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-219.6,-103.3,-154.3,-42.06253178
231,NORSUNB9,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-88.2,-41.1,-60.6,4.362993586
232,PION1,NO,0,non reburn,E,1.68,0.24284202,0.37037037,0.59,0.05,0.2,0.15,1,0.283213929,425.2,176.7,227.4,519.2919693
233,PION10,NO,0,non reburn,E,1.53,0.028831028,0.33333333,0.77,0.08,0.27,0.06,1.3,0.099259824,208.8,92.9,127.9,288.9314474
234,PION11,NO,0,non reburn,E,5.3,1,1,1,0.46,0.61,0,2.6,0.994241934,728.5,289.7,362,1084.311084
235,PION2,NO,0,non reburn,E,5.7,1,1,0.98,0.42,0.3,0.3,2.1,1,664.6,263.3,330.4,886.5630108
236,PION3,NO,0,non reburn,E,6.35,1,1,1,0.99,0.77,1,2.8,1,1027.4,450.4,611,1160.88393
237,PION4,NO,0,non reburn,E,4.44,0.257268239,0.66666667,0.98,0.56,0.17,0,1.7,0.892608398,247.9,89.8,107.2,554.8615049
238,PION5,NO,0,non reburn,E,5.2,1,1,0.76,0.31,0.29,0.25,2,0.968621908,305.3,133.9,181.5,211.550261
239,PION6,NO,0,non reburn,E,0.32,0.013689694,0.13043478,0.61,0.03,0.19,0,1,0,154.2,63.9,82.3,345.5200708
240,PION7,NO,0,non reburn,E,3.8,0.546289364,0.86666667,0.9,0.39,0.23,0,1.9,0.620132198,326.1,144.1,196.9,223.0625487
241,PION8,NO,0,non reburn,E,6,1,1,1,0.93,0.59,0.18,2.9,0.979771593,236.1,102.8,138.5,520.194753
244,PIONUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-337.7,-132.2,-163.4,-22.03600793
245,PIONUNB2,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-179.1,-76.9,-102.5,-61.06855044
246,PIONUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-153.8,-71.5,-104.9,-34.70202361
247,RAIL1,NO,0,non reburn,E,3.45,0.067759831,0.33333333,0.87,0.38,0.11,0,1.6,0.647799935,281.5,98.9,115.7,285.8552724
248,RAIL10,NO,0,non reburn,E,5.55,1,1,1,0.37,0.24,0.2,2.2,0.964503675,828.7,375,527.8,728.5360619
249,RAIL11,NO,0,non reburn,E,1.5,0.003004764,0.14285714,0.84,0.09,0.22,0,1.1,0,131.4,58.9,82,34.99583341
250,RAIL12,NO,0,non reburn,E,6.1,1,1,1,0.91,0.93,0.2,2.9,1,1359,663.8,1096.8,1246.868382
251,RAIL2,NO,0,non reburn,E,6.38,1,1,1,1,0.28,0.69,2.6,0.990951337,888.9,358,452.4,691.8136947
252,RAIL3,NO,0,non reburn,E,6.05,1,1,1,0.99,0.2,0.1,2.8,1,1247.7,591,897.4,1174.77954
253,RAIL4,NO,0,non reburn,E,5.25,1,1,0.99,0.68,0.14,0.05,2.2,1,1150,560.4,918.1,986.9552269
254,RAIL5,NO,0,non reburn,E,0.5,0.072244876,0.56521739,0.52,0.07,0.15,0.15,1.2,0,250.5,116.1,169.5,150.1726054
255,RAIL6,NO,0,non reburn,E,1.45,0.058653376,0.44444444,0.65,0.11,0.19,0.05,1.3,0,230,106,153.3,93.34773928
256,RAIL7,NO,0,non reburn,E,6,1,1,1,1,0.3,0,2.8,1,1181.7,536.6,760.2,1077.804272
257,RAIL8,NO,0,non reburn,E,4.95,1,1,1,0.66,0.23,0,2.1,0.996306597,878.4,366.8,475,805.2582761
265,RAILREBUNB2,NO,0,SR,E,0,0,0,0,0,0,0,0,0,112.5,33.8,37.6,-71.71192729
268,RAILUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,59.3,26.1,35.4,-45.29445406
269,RAILUNB4,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,82.2,34.6,45.4,-3.838519755
270,REBE1,NO,0,non reburn,W,0,0.000522535,0.28846154,0.87,0.03,0.07,0,0.772,0,30.1,14.9,26.9,2.079465052
271,REBE2,NO,0,non reburn,W,0,0.019001238,0.57971014,0.69,0.11,0.1,0,1.168,0,100.4,49.7,87.5,19.94196681
272,REBE3,NO,0,non reburn,W,0.84,0.098859665,0.70454545,0.81,0.03,0.08,0.05,1.189,0,28.2,14,25,24.73173855
273,REBE4,NO,0,non reburn,W,0,0.062168655,0.36842105,1,0.04,0.14,0,1.28,0.027989551,99.2,49,84.8,64.06356699
274,REBE5,NO,0,non reburn,W,0.7,0.00272477,0.25,0.73,0.03,0.08,0,0.894,0,0.7,0.4,0.6,-11.67743541
275,REBEUNB1,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-22.1,-11,-19.8,-19.88711557
276,REBEUNB2,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-13.6,-6.8,-12.3,-4.880917271
277,REBEUNB3,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-22,-10.9,-19.5,-20.30169129
279,RICE10,NO,0,non reburn,E,2.35,0.326796715,0.52941176,0.93,0.18,0.09,0,1.049,0.053528869,137.7,60.9,83.1,146.4939437
280,RICE11,NO,0,non reburn,E,2,0.225435955,0.61538462,0.84,0.23,0.15,0,1.2525,0.579703113,283.3,125.5,171.7,239.4031432
281,RICE12,NO,0,non reburn,E,6,1,1,1,0.95,0.24,0,2.874,0.738459074,615.4,291.5,442.9,683.641878
282,RICE13,NO,0,non reburn,E,4.05,1,1,0.63,0.14,0.19,0,1.066666667,1,365.6,136.4,164,396.1398796
283,RICE14,NO,0,non reburn,E,0.37,0.000699947,0.04761905,0.66,0.06,0.12,0,0.789,0.416622002,43.4,18,23.2,72.71893947
284,RICE15,NO,0,non reburn,E,5.6,1,1,1,0.68,0.23,0,2.452,1,230,107.5,158.8,308.8893422
285,RICE16,NO,0,non reburn,E,4.8,0.501292186,0.98039216,0.99,0.19,0.18,0,1.981,0.952076923,758.5,307.5,388.5,683.278778
286,RICE17,NO,0,non reburn,E,5.2,1,1,0.99,0.75,0.22,0,2.244,1,287.7,128.2,176.6,404.6595188
287,RICE18,NO,0,non reburn,E,2.8,0.364554122,0.4375,1,0.19,0.06,0,1.6625,0.294675889,157.5,70.9,99.1,221.1810969
288,RICE19,NO,0,non reburn,E,0.65,0.278651904,0.63157895,0.9,0.16,0.07,0,1.036,0.18700115,436.2,204.5,304.3,468.5926337
289,RICE2,NO,0,non reburn,E,4.7,0.70072817,0.94520548,0.98,0.5,0.27,0,2.146,0.667177496,692.7,323.4,477.6,611.6953514
290,RICE20,NO,0,non reburn,E,0.5,0.158592849,0.41176471,1,0.16,0.04,0,1.029,0.188524838,131.3,61.4,91.1,197.5656795
291,RICE21,NO,0,non reburn,E,6,1,1,1,0.95,0.39,0,2.58,1,792.2,369.1,543.2,785.5872069
292,RICE3,NO,0,non reburn,E,5.9,1,1,1,0.89,0.45,0,2.916666667,1,920.1,432.7,647.1,785.1209155
293,RICE4,NO,0,non reburn,E,6,1,1,0.99,0.99,0.77,0.15,2.841,1,632.5,288.6,411.4,564.6267157
294,RICE5,NO,0,non reburn,E,2.3,0.170618595,0.44444444,0.82,0.08,0.24,0,1.16,0.716884147,539.4,254.1,381.8,305.5161248
295,RICE6,NO,0,non reburn,E,6,1,1,1,1,0.44,0,2.8325,1,849.8,399.7,598.5,833.3181488
296,RICE7,NO,0,non reburn,E,6,1,1,1,1,0.43,0,2.865,1,608.3,292.5,460.1,673.9404251
297,RICE8,NO,0,non reburn,E,0.84,0.382243232,0.54545455,0.98,0.18,0.23,0.1,1.915,0.013424545,258.6,121.4,181.1,252.91191
298,RICE9,NO,0,non reburn,E,2.45,0.419961661,0.77777778,0.96,0.29,0.13,0,1.54,0.070090685,504.1,240.6,371.7,340.8397795
299,RICEUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-135.4,-60.9,-85,12.79150668
301,RICEUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-124.3,-56.2,-79.1,-87.33571865
302,RICEUNB4,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-38.7,-17.5,-24.6,-32.96900007
303,RICEUNB5,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-74.7,-34,-48.2,-90.10748176
304,RICEUNB6,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-193,-84.4,-113.8,-88.39973446
305,ROCK1,NO,0,non reburn,E,4.1,0.70119559,0.91071429,0.98,0.28,0.09,0.2,2.2,0.910113664,383.9,187,306.7,370.3306017
306,ROCK2,NO,0,non reburn,E,1.95,0,0,0.93,0.08,0.15,0,1.3,0.274730862,97.9,48,79.9,144.430865
